Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
ADCN,39.49573133333333,-119.78952066666665,Dos Amigos Carniceria,39.493557,-119.787701,Mexican Restaurant
ADCN,39.49573133333333,-119.78952066666665,Nu Yalk Pizza,39.49252850588854,-119.78964492719963,Pizza Place
ADCN,39.49573133333333,-119.78952066666665,Port Of Subs,39.49226317499852,-119.78801550798664,Sandwich Place
ADDK,39.496260041237115,-119.80739564948452,Black Rock Vision Center,39.493484,-119.808184,Optical Shop
ADDK,39.496260041237115,-119.80739564948452,Tuscany Tower,39.4973563300929,-119.80239640674284,Hotel
ADDK,39.496260041237115,-119.80739564948452,Toscana Spa,39.49779844042337,-119.80224297459364,Spa
ADDK,39.496260041237115,-119.80739564948452,ZoZo's Ristorante,39.49228577235663,-119.80729719845264,Italian Restaurant
ADDK,39.496260041237115,-119.80739564948452,Swill Coffee and Wine,39.493067313632906,-119.80728728988836,Café
ADDK,39.496260041237115,-119.80739564948452,Josef's Vienna Bakery Cafe & Restaurant,39.492023631097005,-119.80593982357384,Bakery
ADDK,39.496260041237115,-119.80739564948452,Terrace Lounge,39.49734865761796,-119.80205739314488,Lounge
ADDK,39.496260041237115,-119.80739564948452,Biscotti's,39.49729238009965,-119.8020370605822,American Restaurant
ADDK,39.496260041237115,-119.80739564948452,7-Eleven,39.4918465,-119.80830590000001,Convenience Store
ADDK,39.496260041237115,-119.80739564948452,Bimini Steakhouse,39.497466057081105,-119.80205943680187,Steakhouse
ADDK,39.496260041237115,-119.80739564948452,Little Caesars Pizza,39.49199758261954,-119.80664003896877,Pizza Place
ADDK,39.496260041237115,-119.80739564948452,Salon Centric,39.492037933333336,-119.80658426666666,Cosmetics Shop
ADFC,39.50193938613861,-119.79521186138616,Lili's Restaurant,39.50108911185515,-119.79026891777916,Breakfast Spot
ADFC,39.50193938613861,-119.79521186138616,Super Burrito,39.50546107578851,-119.79590493513727,Burrito Place
ADFC,39.50193938613861,-119.79521186138616,Paulie's Pizza,39.50159810720272,-119.79036364928166,Pizza Place
ADFC,39.50193938613861,-119.79521186138616,7-Eleven,39.501271608455795,-119.795728549361,Convenience Store
ADFC,39.50193938613861,-119.79521186138616,Century Theatre,39.50278241503518,-119.79844093322754,Movie Theater
ADFC,39.50193938613861,-119.79521186138616,999 Pho,39.50161627533411,-119.79032141433883,Vietnamese Restaurant
ADFC,39.50193938613861,-119.79521186138616,Subway,39.506014815640576,-119.79721340438351,Sandwich Place
ADFC,39.50193938613861,-119.79521186138616,EL PESCADOR MEXICAN FOOD,39.506050059891614,-119.79644064285276,Mexican Restaurant
ADFC,39.50193938613861,-119.79521186138616,Jia's Wok,39.506172,-119.79719,Chinese Restaurant
ADFK,39.50056066666666,-119.79342444444436,Lili's Restaurant,39.50108911185515,-119.79026891777916,Breakfast Spot
ADFK,39.50056066666666,-119.79342444444436,Paulie's Pizza,39.50159810720272,-119.79036364928166,Pizza Place
ADFK,39.50056066666666,-119.79342444444436,999 Pho,39.50161627533411,-119.79032141433883,Vietnamese Restaurant
ADFK,39.50056066666666,-119.79342444444436,7-Eleven,39.501271608455795,-119.795728549361,Convenience Store
ADFK,39.50056066666666,-119.79342444444436,Little Philadelphia,39.49813792471397,-119.78932594575872,Sandwich Place
ADFK,39.50056066666666,-119.79342444444436,Century Theatre,39.50278241503518,-119.79844093322754,Movie Theater
ADFK,39.50056066666666,-119.79342444444436,Scandinavian Designs,39.500237,-119.788098,Furniture / Home Store
ADFK,39.50056066666666,-119.79342444444436,Dania,39.500165,-119.788004,Furniture / Home Store
ADHR,39.501596285714285,-119.79004257142857,Lili's Restaurant,39.50108911185515,-119.79026891777916,Breakfast Spot
ADHR,39.501596285714285,-119.79004257142857,REI,39.502213,-119.78673899999998,Sporting Goods Shop
ADHR,39.501596285714285,-119.79004257142857,Costco,39.503196856388605,-119.78487357940544,Warehouse Store
ADHR,39.501596285714285,-119.79004257142857,Paulie's Pizza,39.50159810720272,-119.79036364928166,Pizza Place
ADHR,39.501596285714285,-119.79004257142857,999 Pho,39.50161627533411,-119.79032141433883,Vietnamese Restaurant
ADHR,39.501596285714285,-119.79004257142857,Redwood Grill,39.505545829034084,-119.7901748084354,American Restaurant
ADHR,39.501596285714285,-119.79004257142857,Jack in the Box,39.50411520891542,-119.7895520925522,Fast Food Restaurant
ADHR,39.501596285714285,-119.79004257142857,Little Philadelphia,39.49813792471397,-119.78932594575872,Sandwich Place
ADHR,39.501596285714285,-119.79004257142857,7-Eleven,39.501271608455795,-119.795728549361,Convenience Store
ADHR,39.501596285714285,-119.79004257142857,Tandy Leather,39.5015392360153,-119.7903693026893,Arts & Crafts Store
ADHR,39.501596285714285,-119.79004257142857,Scandinavian Designs,39.500237,-119.788098,Furniture / Home Store
ADHR,39.501596285714285,-119.79004257142857,Dania,39.500165,-119.788004,Furniture / Home Store
ADHR,39.501596285714285,-119.79004257142857,A&W,39.50539554694538,-119.78844185007972,Fast Food Restaurant
ADHR,39.501596285714285,-119.79004257142857,Kitties Playhouse,39.500461312651574,-119.78541071284478,Nature Preserve
ADHR,39.501596285714285,-119.79004257142857,Sak 'n Save Food Store,39.505209574618895,-119.78685849228908,Grocery Store
ADHR,39.501596285714285,-119.79004257142857,Urban Air Trampoline and Adventure Park,39.502756,-119.784522,Theme Park
ADHR,39.501596285714285,-119.79004257142857,Safelite AutoGlass,39.497144,-119.78978700000002,Auto Garage
ADIA,39.50245885384616,-119.79125121538459,Lili's Restaurant,39.50108911185515,-119.79026891777916,Breakfast Spot
ADIA,39.50245885384616,-119.79125121538459,REI,39.502213,-119.78673899999998,Sporting Goods Shop
ADIA,39.50245885384616,-119.79125121538459,Paulie's Pizza,39.50159810720272,-119.79036364928166,Pizza Place
ADIA,39.50245885384616,-119.79125121538459,Redwood Grill,39.505545829034084,-119.7901748084354,American Restaurant
ADIA,39.50245885384616,-119.79125121538459,999 Pho,39.50161627533411,-119.79032141433883,Vietnamese Restaurant
ADIA,39.50245885384616,-119.79125121538459,Jack in the Box,39.50411520891542,-119.7895520925522,Fast Food Restaurant
ADIA,39.50245885384616,-119.79125121538459,7-Eleven,39.501271608455795,-119.795728549361,Convenience Store
ADIA,39.50245885384616,-119.79125121538459,Tandy Leather,39.5015392360153,-119.7903693026893,Arts & Crafts Store
ADIA,39.50245885384616,-119.79125121538459,A&W,39.50539554694538,-119.78844185007972,Fast Food Restaurant
ADIA,39.50245885384616,-119.79125121538459,Scandinavian Designs,39.500237,-119.788098,Furniture / Home Store
ADIA,39.50245885384616,-119.79125121538459,Dania,39.500165,-119.788004,Furniture / Home Store
ADIA,39.50245885384616,-119.79125121538459,Sak 'n Save Food Store,39.505209574618895,-119.78685849228908,Grocery Store
ADJA,39.501608132530116,-119.79690956626509,Naan & Kabab,39.49857,-119.79931,Mediterranean Restaurant
ADJA,39.501608132530116,-119.79690956626509,Black Bear Diner,39.50226051829675,-119.80182798109912,Diner
ADJA,39.501608132530116,-119.79690956626509,Ruby River Steakhouse,39.498242,-119.799192,Restaurant
ADJA,39.501608132530116,-119.79690956626509,Super Burrito,39.50546107578851,-119.79590493513727,Burrito Place
ADJA,39.501608132530116,-119.79690956626509,clary's,39.49778519427034,-119.79902878655888,Pub
ADJA,39.501608132530116,-119.79690956626509,Fireside Lounge,39.498384489554404,-119.80004796500559,Lounge
ADJA,39.501608132530116,-119.79690956626509,Oceano,39.498670504673846,-119.8007985120546,Seafood Restaurant
ADJA,39.501608132530116,-119.79690956626509,7-Eleven,39.501271608455795,-119.795728549361,Convenience Store
ADJA,39.501608132530116,-119.79690956626509,Century Theatre,39.50278241503518,-119.79844093322754,Movie Theater
ADJA,39.501608132530116,-119.79690956626509,El Pollo Loco,39.50279463140897,-119.8022309146084,Fast Food Restaurant
ADJA,39.501608132530116,-119.79690956626509,Subway,39.506014815640576,-119.79721340438351,Sandwich Place
ADJA,39.501608132530116,-119.79690956626509,Island Buffet,39.49802498380103,-119.7999643957838,Buffet
ADJA,39.501608132530116,-119.79690956626509,EL PESCADOR MEXICAN FOOD,39.506050059891614,-119.79644064285276,Mexican Restaurant
ADJA,39.501608132530116,-119.79690956626509,Cafe Milano,39.49845793653929,-119.79979648133718,Diner
ADJA,39.501608132530116,-119.79690956626509,Tires Plus,39.50023206,-119.80101609,Automotive Shop
ADJA,39.501608132530116,-119.79690956626509,Orchard Plaza,39.50291688290746,-119.8021561575706,Shopping Mall
ADKB,39.50370493548387,-119.80526716129036,The Dispensary,39.50539047518957,-119.80516601448448,Marijuana Dispensary
ADKB,39.50370493548387,-119.80526716129036,Shenanigan's Old English Pub,39.50615452912609,-119.80507936349392,Bar
ADKB,39.50370493548387,-119.80526716129036,2 Tha Joint,39.505405234973715,-119.80637883050491,Sushi Restaurant
ADKB,39.50370493548387,-119.80526716129036,Black Bear Diner,39.50226051829675,-119.80182798109912,Diner
ADKB,39.50370493548387,-119.80526716129036,Asian Garden Restaurant,39.505383,-119.804054,Chinese Restaurant
ADKB,39.50370493548387,-119.80526716129036,Tokyo Sushi,39.505029696506156,-119.80305626267176,Sushi Restaurant
ADKB,39.50370493548387,-119.80526716129036,El Pollo Loco,39.50279463140897,-119.8022309146084,Fast Food Restaurant
ADKB,39.50370493548387,-119.80526716129036,Jelly Donut,39.50717,-119.803451,Donut Shop
ADKB,39.50370493548387,-119.80526716129036,Dollar Tree,39.50650562135689,-119.8052501118688,Discount Store
ADKB,39.50370493548387,-119.80526716129036,Domino's Pizza,39.50626790678643,-119.80503568056521,Pizza Place
ADKB,39.50370493548387,-119.80526716129036,Tuesday Morning,39.506928,-119.801609,Discount Store
ADKB,39.50370493548387,-119.80526716129036,Save Mart,39.506898,-119.80663200000001,Grocery Store
ADKB,39.50370493548387,-119.80526716129036,IHOP,39.50642225078351,-119.80334803820223,Breakfast Spot
ADKB,39.50370493548387,-119.80526716129036,Shell,39.50449,-119.803,Gas Station
ADKB,39.50370493548387,-119.80526716129036,My Favorite Muffin Bagel & Cafe,39.50672034018224,-119.80181478304551,Café
ADKB,39.50370493548387,-119.80526716129036,Viet Pho,39.50655625098123,-119.80139049773821,Vietnamese Restaurant
ADKB,39.50370493548387,-119.80526716129036,Motel 6,39.505417,-119.804073,Hotel
ADKB,39.50370493548387,-119.80526716129036,Econo Lodge,39.50626754760742,-119.8041000366211,Hotel
ADKB,39.50370493548387,-119.80526716129036,Econo Lodge Near Reno-Sparks Convention Center,39.506314399999994,-119.8041372,Hotel
ADKB,39.50370493548387,-119.80526716129036,CVS pharmacy,39.50675872853917,-119.80150199675093,Pharmacy
ADKB,39.50370493548387,-119.80526716129036,Marshalls,39.50669868701206,-119.80133987233823,Department Store
